order;Clone;Pop
911;BGM-1818;C0
912;BGM-1819;C0
913;BGM-1821;C0
914;BGM-1822;C0
915;BGM-1832;C0
916;BGM-1834;C0
917;BGM-1835;C0
918;BGM-1847;C0
919;BGM-1866;C0
920;BGM-1876;C0
921;BGM-1878;C0
922;BGM-1880;C0
923;BGM-1881;C0
924;BGM-1884;C0
925;BGM-1942;C0
926;BGM-1956;C0
927;BGM-1957;C0
928;BGM-1962;C0
929;BGM-1980;C0
930;BGM-1985;C0
931;BGM-1999;C0
932;BGM-2019;C0
934;BGM-2022;C0
935;BGM-2025;C0
936;BGM-2026;C0
937;BGM-2028;C0
938;BGM-2030;C0
939;BGM-2032;C0
940;BGM-2035;C0
941;BGM-2047;C0
942;BGM-2048;C0
943;BGM-2052;C0
944;BGM-2053;C0
945;BGM-2054;C0
946;BGM-2055;C0
947;BGM-2059;C0
948;BGM-2060;C0
949;BGM-2061;C0
950;BGM-2063;C0
951;BGM-2064;C0
952;BGM-2065;C0
953;BGM-2066;C0
954;BGM-2069;C0
955;BGM-2072;C0
956;BGM-2073;C0
957;BGM-2074;C0
958;BGM-2076;C0
959;BGM-2078;C0
960;BGM-2079;C0
961;BGM-2080;C0
962;BGM-2081;C0
963;BGM-2082;C0
964;BGM-2083;C0
965;BGM-2086;C0
966;BGM-2095;C0
967;BGM-2096;C0
968;BGM-2097;C0
969;BGM-2098;C0
970;BGM-2100;C0
971;BGM-2101;C0
972;BGM-2102;C0
973;BGM-2103;C0
974;BGM-2104;C0
975;BGM-2105;C0
976;BGM-2107;C0
977;BGM-2111;C0
978;BGM-2116;C0
979;BGM-2119;C0
980;BGM-2121;C0
981;BGM-2148;C0
982;BGM-2153;C0
984;BGM-2192;C0
985;BGM-2224;C0
986;BGM-2232;C0
987;BGM-2233;C0
988;BGM-2255;C0
989;BGM-2279(1);C0
990;BGM-2289;C0
991;BGM-2294;C0
992;BGM-2304;C0
993;BGM-2325;C0
994;BGM-2331;C0
995;BGM-2333;C0
996;BGM-2334;C0
997;BGM-2335;C0
998;BGM-2336;C0
999;BGM-2337;C0
1000;BGM-2338;C0
1001;BGM-2339;C0
1002;BGM-2340;C0
1003;BGM-2345;C0
1004;BGM-2349;C0
1530;BGM-2326;C0
1531;BGM-2328;C0
1532;BGM-2329;C0
1533;BGM-2024;C0
1534;BGM-2330;C0
1535;2019g-04-02;C0
1536;BGM-2351;C0
1537;BGM-2090;C0
1539;BGM-2210;C0
1540;Guaira;C0
1541;Sacai;C0
1542;TMEB14;C0
3468;Capixaba;C0
3469;BR-11-03-01;C0
3470;Aipim-Preto-Joselito;C0
3471;BGM-1224;C0
4056;Branca-03-CC;C0
4057;Branca-05-CC;C0
4058;BRS-396;C0
4059;BRS-399;C0
4060;BRS-Aipim-Brasil;C0
4061;BRS-Amansa-Burro;C0
4062;BRS-Caipira;C0
4064;BRS-Formosa-Tetra;C0
4065;BRS-GCP001;C0
4066;BRS-Gema-de-Ovo;C0
4067;BRS-Guaira;C0
4068;BRS-Jari;C0
4070;BRS-Poti-Branca;C0
4071;BRS-Rosada;C0
4072;BRS-Verdinha;C0
3505;BR-18GS-002-122;C1
3506;BR-18GS-002-134;C1
3507;BR-18GS-002-18;C1
3508;BR-18GS-002-3;C1
3509;BR-18GS-002-32;C1
3510;BR-18GS-002-35;C1
3511;BR-18GS-002-42;C1
3512;BR-18GS-002-80;C1
3513;BR-18GS-002-93;C1
3514;BR-18GS-003-10;C1
3515;BR-18GS-003-12;C1
3516;BR-18GS-003-20;C1
3517;BR-18GS-003-27;C1
3518;BR-18GS-003-35;C1
3519;BR-18GS-003-45;C1
3520;BR-18GS-003-46;C1
3521;BR-18GS-003-53;C1
3522;BR-18GS-003-55;C1
3523;BR-18GS-003-56;C1
3524;BR-18GS-005-12;C1
3525;BR-18GS-006-21;C1
3526;BR-18GS-006-22;C1
3527;BR-18GS-006-5;C1
3528;BR-18GS-011-1;C1
3529;BR-18GS-011-11;C1
3530;BR-18GS-011-19;C1
3531;BR-18GS-011-28;C1
3532;BR-18GS-011-29;C1
3533;BR-18GS-011-31;C1
3534;BR-18GS-013-1;C1
3535;BR-18GS-013-15;C1
3536;BR-18GS-013-16;C1
3537;BR-18GS-013-21;C1
3538;BR-18GS-013-24;C1
3539;BR-18GS-013-25;C1
3540;BR-18GS-013-26;C1
3541;BR-18GS-013-27;C1
3542;BR-18GS-013-28;C1
3543;BR-18GS-013-29;C1
3544;BR-18GS-013-30;C1
3545;BR-18GS-013-31;C1
3546;BR-18GS-013-33;C1
3547;BR-18GS-013-34;C1
3548;BR-18GS-013-35;C1
3549;BR-18GS-013-36;C1
3550;BR-18GS-013-37;C1
3551;BR-18GS-013-38;C1
3552;BR-18GS-013-39;C1
3553;BR-18GS-013-40;C1
3554;BR-18GS-013-41;C1
3555;BR-18GS-013-42;C1
3556;BR-18GS-013-45;C1
3557;BR-18GS-013-48;C1
3558;BR-18GS-013-49;C1
