Accession	Female_Parent	Male_Parent	Cross_Type
BR-18-099-03	BGM-0144	BGM-0968	biparental
BR-18-099-04	BGM-0144	BGM-0968	biparental
BR-18-099-05	BGM-0144	BGM-0968	biparental
BR-18-099-06	BGM-0144	BGM-0968	biparental
BR-18-099-07	BGM-0144	BGM-0968	biparental
BR-18-099-08	BGM-0144	BGM-0968	biparental
BR-18-099-09	BGM-0144	BGM-0968	biparental
BR-18-099-10	BGM-0144	BGM-0968	biparental
BR-18-099-11	BGM-0144	BGM-0968	biparental
BR-18-099-12	BGM-0144	BGM-0968	biparental
BR-18-099-13	BGM-0144	BGM-0968	biparental
BR-18-099-14	BGM-0144	BGM-0968	biparental
BR-18-099-15	BGM-0144	BGM-0968	biparental
BR-18-099-16	BGM-0144	BGM-0968	biparental
BR-18-099-17	BGM-0144	BGM-0968	biparental
BR-18-099-18	BGM-0144	BGM-0968	biparental
BR-18-099-19	BGM-0144	BGM-0968	biparental
BR-18-099-20	BGM-0144	BGM-0968	biparental
BR-18-099-21	BGM-0144	BGM-0968	biparental
BR-18-099-22	BGM-0144	BGM-0968	biparental
BR-18-099-23	BGM-0144	BGM-0968	biparental
BR-18-099-24	BGM-0144	BGM-0968	biparental
BR-18-099-25	BGM-0144	BGM-0968	biparental
BR-18-099-26	BGM-0144	BGM-0968	biparental
BR-18-099-27	BGM-0144	BGM-0968	biparental
BR-18-100-01	BGM-0174	BGM-0352	biparental
BR-18-100-02	BGM-0174	BGM-0352	biparental
BR-18-101-02	BGM-0685	BR-11S1-52-23	biparental
BR-18-101-03	BGM-0685	BR-11S1-52-23	biparental
BR-18-101-04	BGM-0685	BR-11S1-52-23	biparental
BR-18-101-05	BGM-0685	BR-11S1-52-23	biparental
BR-18-102-01	BGM-0685	BGM-0019	biparental
BR-18-102-02	BGM-0685	BGM-0019	biparental
BR-18-103-01	BGM-0685	BGM-0061	biparental
BR-18-104-01	BGM-0685	BGM-0741	biparental
BR-18-105-01	BGM-0685	BGM-1163	biparental
BR-18-106-02	BGM-0728	BGM-0685	biparental
BR-18-106-03	BGM-0728	BGM-0685	biparental
BR-18-106-04	BGM-0728	BGM-0685	biparental
BR-18-106-05	BGM-0728	BGM-0685	biparental
BR-18-106-06	BGM-0728	BGM-0685	biparental
BR-18-106-07	BGM-0728	BGM-0685	biparental
BR-18-107-01	BGM-0728	BGM-0946	biparental
BR-18-107-02	BGM-0728	BGM-0946	biparental
BR-18-108-01	BGM-0728	BGM-1163	biparental
BR-18-108-02	BGM-0728	BGM-1163	biparental
BR-18-108-03	BGM-0728	BGM-1163	biparental
BR-18-108-04	BGM-0728	BGM-1163	biparental
BR-18-108-05	BGM-0728	BGM-1163	biparental
BR-18-108-06	BGM-0728	BGM-1163	biparental
BR-18-108-07	BGM-0728	BGM-1163	biparental
BR-18-108-08	BGM-0728	BGM-1163	biparental
BR-18-108-09	BGM-0728	BGM-1163	biparental
BR-18-108-10	BGM-0728	BGM-1163	biparental
BR-18-108-11	BGM-0728	BGM-1163	biparental
BR-18-109-01	BGM-0728	BGM-1448	biparental
